age_group,occupation,gender,smartphone_type,screen_time,daily_app_categories,most_used_category,ad_frequency,frequent_ad_format,most_excessive_ad_category,ads_interrupt_usage,ads_cause_frustration,ads_reduce_enjoyment,ads_close_app,ads_uninstall_app,tolerated_ad_format,most_annoying_ad_time,pay_for_adfree,ads_interrupt_usage_score,ads_cause_frustration_score,ads_reduce_enjoyment_score,ads_close_app_score,ad_fatigue_index
18–24,Student,Male,Android,2–4 hours,"Social Media, Gaming, News / Reading","Social Media, Gaming, News / Reading",Often,Banner ads,Social Media,Neutral,Neutral,Neutral,Agree,No,Skippable video ads,Late night,No,3.0,3.0,3.0,4.0,3.25
18–24,Student,Male,Android,2–4 hours,"Social Media, Video / OTT, Gaming, Education","Social Media, Video / OTT, Gaming",Rarely,Unskippable ads,Social Media,Strongly agree,Agree,Neutral,Disagree,No,Skippable video ads,Evening,No,5.0,4.0,3.0,2.0,3.5
25–34,Self-employed,Female,Android,More than 6 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce, Utility / Tools, Education","Social Media, Video / OTT, Shopping / E-commerce",Often,Video ads,Video / OTT,Neutral,Strongly agree,Strongly agree,Strongly agree,Yes,Skippable video ads,Afternoon,No,3.0,5.0,5.0,5.0,4.5
25–34,Self-employed,Male,Android,2–4 hours,"Gaming, Shopping / E-commerce, News / Reading","Social Media, Video / OTT, Gaming",Often,Rewarded ads,Gaming,Disagree,Agree,Agree,Strongly agree,No,Banner ads,Morning,Yes,2.0,4.0,4.0,5.0,3.75
18–24,Student,Male,Android,2–4 hours,"Social Media, Video / OTT, News / Reading, Education","Social Media, News / Reading, Education",Very often,Video ads,Video / OTT,Agree,Neutral,Neutral,Disagree,No,Banner ads,Evening,No,4.0,3.0,3.0,2.0,3.0
18–24,Student,Female,Android,More than 6 hours,"Social Media, Gaming, Shopping / E-commerce","Social Media, Gaming, Shopping / E-commerce",Often,Unskippable ads,Gaming,Agree,Strongly agree,Strongly agree,Strongly agree,Yes,Banner ads,Late night,No,4.0,5.0,5.0,5.0,4.75
18–24,Student,Male,Android,More than 6 hours,"Social Media, Video / OTT, Gaming","Social Media, Video / OTT, Gaming",Very often,Unskippable ads,Video / OTT,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,,Late night,No,5.0,5.0,5.0,5.0,5.0
45+,Working professional,Female,Android,2–4 hours,"Social Media, News / Reading, Education","Social Media, News / Reading, Education",Rarely,Unskippable ads,Social Media,Strongly disagree,Strongly disagree,Disagree,Disagree,No,Skippable video ads,Late night,Yes,1.0,1.0,2.0,2.0,1.5
18–24,Student,Male,Android,Less than 2 hours,"News / Reading, Utility / Tools, Education","News / Reading, Utility / Tools, Education",Very often,Video ads,Gaming,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Yes,Skippable video ads,Evening,Yes,1.0,1.0,1.0,1.0,1.0
18–24,Student,Male,Android,4–6 hours,"Social Media, Video / OTT, Gaming, News / Reading","Social Media, Video / OTT, Gaming",Often,Video ads,Gaming,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Skippable video ads,Late night,No,5.0,5.0,5.0,5.0,5.0
18–24,Student,Male,Android,4–6 hours,"Social Media, Gaming, News / Reading","Social Media, Video / OTT, Gaming",Rarely,Sponsored posts,Social Media,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Rewarded ads,Late night,No,5.0,5.0,5.0,5.0,5.0
18–24,Student,Male,iOS,2–4 hours,"Social Media, Gaming, Utility / Tools","Social Media, Gaming, Utility / Tools",Sometimes,Video ads,Social Media,Agree,Strongly agree,Strongly agree,Agree,Yes,,Late night,No,4.0,5.0,5.0,4.0,4.5
35–44,Working professional,Male,iOS,2–4 hours,"Gaming, Utility / Tools, Education","Gaming, Shopping / E-commerce, News / Reading",Sometimes,Rewarded ads,Shopping / E-commerce,Neutral,Disagree,Strongly agree,Strongly disagree,No,Skippable video ads,Late night,No,3.0,2.0,5.0,1.0,2.75
18–24,Student,Male,Android,2–4 hours,"Social Media, Video / OTT, Gaming, News / Reading, Utility / Tools, Education","Video / OTT, Gaming, News / Reading",Sometimes,Video ads,Social Media,Strongly agree,Strongly agree,Strongly agree,Agree,Yes,Rewarded ads,Late night,Yes,5.0,5.0,5.0,4.0,4.75
45+,Self-employed,Female,Android,Less than 2 hours,"Social Media, Shopping / E-commerce, News / Reading, Utility / Tools","Social Media, Shopping / E-commerce, News / Reading, Utility / Tools",Sometimes,Unskippable ads,Gaming,Disagree,Disagree,Neutral,Disagree,No,Rewarded ads,Morning,No,2.0,2.0,3.0,2.0,2.25
18–24,Student,Female,iOS,More than 6 hours,"Social Media, Video / OTT, Gaming, Education","Social Media, Video / OTT, Gaming, Education",Very often,Unskippable ads,Social Media,Agree,Neutral,Agree,Neutral,No,Banner ads,Evening,No,4.0,3.0,4.0,3.0,3.5
35–44,Other,Female,iOS,Less than 2 hours,"Video / OTT, Shopping / E-commerce, News / Reading","Video / OTT, News / Reading, Education",Sometimes,Video ads,Gaming,Strongly disagree,Disagree,Neutral,Agree,No,Skippable video ads,Afternoon,Yes,1.0,2.0,3.0,4.0,2.5
35–44,Self-employed,Male,iOS,2–4 hours,"Social Media, Video / OTT, Utility / Tools","Social Media, Video / OTT, Utility / Tools",Sometimes,Video ads,Social Media,Neutral,Neutral,Neutral,Neutral,Yes,Rewarded ads,Morning,No,3.0,3.0,3.0,3.0,3.0
18–24,Working professional,Female,Android,2–4 hours,"Social Media, Video / OTT, Gaming","Social Media, Video / OTT, Gaming",Often,Video ads,Shopping / E-commerce,Agree,Neutral,Neutral,Neutral,Yes,Skippable video ads,Evening,No,4.0,3.0,3.0,3.0,3.25
45+,Self-employed,Male,Android,2–4 hours,"Social Media, Video / OTT, Education","Social Media, Video / OTT, News / Reading",Rarely,Video ads,Social Media,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Yes,Rewarded ads,Evening,No,1.0,2.0,1.0,1.0,1.25
35–44,Working professional,Female,Android,Less than 2 hours,"Social Media, Shopping / E-commerce, Education","Social Media, Shopping / E-commerce, Utility / Tools",Often,Unskippable ads,Social Media,Neutral,Strongly agree,Agree,Strongly agree,Yes,Skippable video ads,Late night,Yes,3.0,5.0,4.0,5.0,4.25
35–44,Working professional,Male,iOS,2–4 hours,"Social Media, Video / OTT, Shopping / E-commerce","Social Media, Video / OTT, Shopping / E-commerce",Sometimes,Video ads,Social Media,Neutral,Disagree,Neutral,Disagree,No,Banner ads,Late night,No,3.0,2.0,3.0,2.0,2.5
35–44,Self-employed,Male,Android,4–6 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce","Social Media, Gaming, Shopping / E-commerce",Sometimes,Banner ads,Gaming,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,,Afternoon,No,5.0,5.0,5.0,5.0,5.0
18–24,Student,Female,Android,2–4 hours,"Social Media, Shopping / E-commerce, Education","Social Media, Video / OTT, Shopping / E-commerce, Education",Sometimes,Sponsored posts,Shopping / E-commerce,Neutral,Agree,Agree,Agree,No,Sponsored content,Late night,No,3.0,4.0,4.0,4.0,3.75
35–44,Other,Male,iOS,2–4 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce, News / Reading, Utility / Tools","Video / OTT, Gaming, Shopping / E-commerce",Often,Video ads,Gaming,Agree,Agree,Agree,Agree,No,Rewarded ads,Late night,Yes,4.0,4.0,4.0,4.0,4.0
35–44,Working professional,Male,Android,Less than 2 hours,"Social Media, Video / OTT, Shopping / E-commerce","Social Media, Video / OTT, Shopping / E-commerce",Sometimes,Video ads,Video / OTT,Agree,Agree,Strongly agree,Agree,Yes,,Morning,No,4.0,4.0,5.0,4.0,4.25
45+,Working professional,Female,Android,Less than 2 hours,"Social Media, News / Reading, Education","Social Media, News / Reading, Education",Sometimes,Video ads,Education,Agree,Strongly agree,Agree,Agree,No,,,No,4.0,5.0,4.0,4.0,4.25
35–44,Other,Female,Android,More than 6 hours,"Social Media, Gaming, Shopping / E-commerce, News / Reading","Social Media, Gaming, News / Reading",Very often,Unskippable ads,Gaming,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Skippable video ads,Late night,No,5.0,5.0,5.0,5.0,5.0
18–24,Self-employed,Female,iOS,2–4 hours,"Video / OTT, Gaming, Shopping / E-commerce","Video / OTT, Gaming, News / Reading",Sometimes,Unskippable ads,Shopping / E-commerce,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Skippable video ads,Morning,Yes,5.0,5.0,5.0,5.0,5.0
,,,,,,,,,,,,,,,,,,,,,,
18–24,Self-employed,Male,Android,More than 6 hours,"Social Media, Video / OTT, Gaming","Social Media, Video / OTT, Gaming",Sometimes,Video ads,Gaming,Agree,Neutral,Neutral,Agree,Yes,Rewarded ads,Late night,No,4.0,3.0,3.0,4.0,3.5
18–24,Working professional,Male,Android,4–6 hours,"Social Media, Video / OTT, Shopping / E-commerce","Social Media, Video / OTT, Shopping / E-commerce",Rarely,Video ads,Social Media,Neutral,Strongly agree,Strongly agree,Strongly agree,No,Rewarded ads,Late night,No,3.0,5.0,5.0,5.0,4.5
18–24,Student,Male,Android,2–4 hours,"Social Media, Video / OTT, News / Reading, Utility / Tools, Education","Social Media, Video / OTT, Utility / Tools",Very often,Banner ads,Video / OTT,Strongly agree,Strongly agree,Strongly agree,Agree,Yes,Skippable video ads,Evening,No,5.0,5.0,5.0,4.0,4.75
18–24,Student,Male,iOS,4–6 hours,"Social Media, Video / OTT, Education","Social Media, Video / OTT, Education",Often,Unskippable ads,Video / OTT,Strongly agree,Strongly agree,Strongly agree,Agree,No,Rewarded ads,Late night,No,5.0,5.0,5.0,4.0,4.75
35–44,Self-employed,Female,Android,4–6 hours,"Social Media, Gaming, Shopping / E-commerce, Education","Social Media, Gaming, Education",Often,Video ads,Gaming,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Skippable video ads,Evening,No,5.0,5.0,5.0,5.0,5.0
25–34,Working professional,Female,iOS,2–4 hours,"Social Media, Video / OTT, Shopping / E-commerce, Utility / Tools, Education",Shopping / E-commerce,Sometimes,Unskippable ads,Utility / Tools,Agree,Agree,Strongly agree,Neutral,No,Banner ads,Evening,No,4.0,4.0,5.0,3.0,4.0
18–24,Working professional,Female,iOS,2–4 hours,"Video / OTT, Gaming, Shopping / E-commerce, Utility / Tools, Education","Social Media, Video / OTT, Gaming, Shopping / E-commerce, News / Reading, Education",Very often,Rewarded ads,Gaming,Agree,Agree,Strongly disagree,Neutral,No,,Morning,No,4.0,4.0,1.0,3.0,3.0
25–34,Student,Male,iOS,4–6 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce, News / Reading","Video / OTT, Shopping / E-commerce, News / Reading, Education",Sometimes,Sponsored posts,Video / OTT,Neutral,Disagree,Neutral,Disagree,Yes,Sponsored content,Morning,Yes,3.0,2.0,3.0,2.0,2.5
35–44,Self-employed,Prefer not to say,Android,2–4 hours,"Social Media, Shopping / E-commerce","Social Media, Video / OTT, Gaming, Shopping / E-commerce, Education",Often,Video ads,Gaming,Neutral,Disagree,Neutral,Disagree,No,,Evening,No,3.0,2.0,3.0,2.0,2.5
45+,Self-employed,Male,iOS,More than 6 hours,"Gaming, Shopping / E-commerce, News / Reading, Education","Gaming, Shopping / E-commerce, News / Reading, Utility / Tools, Education",Rarely,Unskippable ads,Education,Strongly disagree,Neutral,Strongly agree,Strongly disagree,No,Banner ads,Afternoon,No,1.0,3.0,5.0,1.0,2.5
35–44,Other,Prefer not to say,iOS,Less than 2 hours,"Video / OTT, News / Reading, Education","Video / OTT, Gaming, Shopping / E-commerce, Utility / Tools, Education",Often,Banner ads,News / Reading,Agree,Agree,Strongly agree,Disagree,Yes,Banner ads,Late night,Yes,4.0,4.0,5.0,2.0,3.75
18–24,Self-employed,Male,Android,More than 6 hours,"Social Media, Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools","Video / OTT, Shopping / E-commerce, Utility / Tools, Education",Sometimes,Unskippable ads,Utility / Tools,Disagree,Disagree,Disagree,Disagree,Yes,Sponsored content,Afternoon,Yes,2.0,2.0,2.0,2.0,2.0
18–24,Self-employed,Female,iOS,Less than 2 hours,"Video / OTT, Shopping / E-commerce, Education","Social Media, Shopping / E-commerce, News / Reading, Utility / Tools, Education",Often,Video ads,Education,Neutral,Neutral,Agree,Disagree,No,,Late night,No,3.0,3.0,4.0,2.0,3.0
Below 18,Working professional,Prefer not to say,iOS,More than 6 hours,"Video / OTT, Gaming, News / Reading, Utility / Tools, Education","Social Media, Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools, Education",Very often,Video ads,Education,Neutral,Strongly disagree,Disagree,Strongly disagree,Yes,Banner ads,Morning,Yes,3.0,1.0,2.0,1.0,1.75
Below 18,Student,Male,iOS,2–4 hours,"Social Media, Gaming, Utility / Tools, Education","Social Media, Video / OTT, Gaming, Education",Very often,Sponsored posts,Gaming,Neutral,Agree,Agree,Disagree,Yes,Sponsored content,Evening,Yes,3.0,4.0,4.0,2.0,3.25
18–24,Student,Female,iOS,More than 6 hours,"Social Media, Video / OTT, Shopping / E-commerce","Social Media, Video / OTT, Shopping / E-commerce",Often,Sponsored posts,Social Media,Agree,Agree,Agree,Strongly agree,Yes,Banner ads,Late night,No,4.0,4.0,4.0,5.0,4.25
45+,Self-employed,Male,Android,2–4 hours,"Video / OTT, Shopping / E-commerce, News / Reading","Video / OTT, Shopping / E-commerce, News / Reading",Often,Video ads,News / Reading,Neutral,Neutral,Disagree,Disagree,No,Skippable video ads,Late night,Yes,3.0,3.0,2.0,2.0,2.5
18–24,Student,Male,Android,4–6 hours,"Social Media, Shopping / E-commerce, Education","Social Media, Shopping / E-commerce, Education",Very often,Unskippable ads,Video / OTT,Agree,Agree,Agree,Disagree,Yes,Skippable video ads,Evening,No,4.0,4.0,4.0,2.0,3.5
25–34,Working professional,Female,Android,2–4 hours,"Video / OTT, Shopping / E-commerce, News / Reading","Social Media, Video / OTT, Shopping / E-commerce",Often,Video ads,Social Media,Agree,Agree,Agree,Agree,No,Skippable video ads,Evening,No,4.0,4.0,4.0,4.0,4.0
18–24,Student,Female,iOS,More than 6 hours,"Video / OTT, Gaming, News / Reading, Utility / Tools, Education","Social Media, Video / OTT, Gaming, Shopping / E-commerce, News / Reading, Utility / Tools, Education",Often,Banner ads,News / Reading,Strongly disagree,Disagree,Strongly agree,Neutral,No,Banner ads,Morning,No,1.0,2.0,5.0,3.0,2.75
Below 18,Student,Male,iOS,Less than 2 hours,"Video / OTT, Gaming, Utility / Tools, Education","Shopping / E-commerce, Utility / Tools",Often,Banner ads,Shopping / E-commerce,Agree,Disagree,Strongly agree,Strongly agree,No,Skippable video ads,Afternoon,No,4.0,2.0,5.0,5.0,4.0
25–34,Self-employed,Female,Android,Less than 2 hours,"Social Media, Gaming, Shopping / E-commerce, News / Reading, Utility / Tools","Social Media, Shopping / E-commerce, News / Reading, Utility / Tools, Education",Rarely,Unskippable ads,Social Media,Strongly disagree,Neutral,Disagree,Neutral,No,Skippable video ads,Evening,No,1.0,3.0,2.0,3.0,2.25
35–44,Working professional,Female,Android,More than 6 hours,"News / Reading, Utility / Tools","Gaming, Shopping / E-commerce, Education",Very often,Video ads,Education,Agree,Strongly agree,Neutral,Neutral,No,Rewarded ads,Afternoon,Yes,4.0,5.0,3.0,3.0,3.75
45+,Other,Prefer not to say,Android,Less than 2 hours,"Social Media, News / Reading, Utility / Tools, Education","Video / OTT, Gaming, Shopping / E-commerce, Utility / Tools, Education",Very often,Sponsored posts,Utility / Tools,Strongly disagree,Strongly agree,Disagree,Agree,No,,Evening,Yes,1.0,5.0,2.0,4.0,3.0
45+,Working professional,Female,Android,More than 6 hours,"Video / OTT, Utility / Tools","Social Media, Gaming, News / Reading, Utility / Tools",Very often,Video ads,Shopping / E-commerce,Agree,Neutral,Neutral,Disagree,No,,Evening,No,4.0,3.0,3.0,2.0,3.0
Below 18,Other,Female,Android,Less than 2 hours,"Social Media, Video / OTT, News / Reading","Gaming, Shopping / E-commerce, Utility / Tools",Sometimes,Rewarded ads,Social Media,Agree,Agree,Agree,Neutral,No,,Afternoon,No,4.0,4.0,4.0,3.0,3.75
25–34,Working professional,Female,iOS,2–4 hours,"Video / OTT, Gaming, Utility / Tools, Education","Video / OTT, Gaming, Shopping / E-commerce, News / Reading, Utility / Tools",Often,Banner ads,Education,Agree,Neutral,Strongly disagree,Neutral,No,Banner ads,Evening,Yes,4.0,3.0,1.0,3.0,2.75
35–44,Self-employed,Female,Android,Less than 2 hours,"Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools","Gaming, Shopping / E-commerce, News / Reading, Education",Very often,Unskippable ads,Shopping / E-commerce,Strongly disagree,Disagree,Neutral,Disagree,No,,Evening,No,1.0,2.0,3.0,2.0,2.0
25–34,Working professional,Female,Android,4–6 hours,"Social Media, Gaming, News / Reading, Utility / Tools","News / Reading, Utility / Tools, Education",Often,Rewarded ads,Gaming,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,No,Sponsored content,Morning,No,5.0,1.0,5.0,5.0,4.0
18–24,Student,Male,Android,2–4 hours,"Video / OTT, Shopping / E-commerce, News / Reading","Video / OTT, Shopping / E-commerce, News / Reading",Often,Unskippable ads,Video / OTT,Strongly agree,Strongly agree,Strongly agree,Disagree,No,Sponsored content,Evening,Yes,5.0,5.0,5.0,2.0,4.25
18–24,Student,Male,iOS,More than 6 hours,"Social Media, Video / OTT, Shopping / E-commerce, News / Reading, Education","Social Media, Video / OTT, Education",Often,Rewarded ads,Video / OTT,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Skippable video ads,Evening,Yes,5.0,5.0,5.0,5.0,5.0
18–24,Student,Male,Android,2–4 hours,"Social Media, Gaming, Education","Social Media, Gaming, Education",Sometimes,Sponsored posts,Gaming,Agree,Agree,Agree,Agree,No,Skippable video ads,Late night,No,4.0,4.0,4.0,4.0,4.0
18–24,Student,Female,Android,4–6 hours,"Social Media, Video / OTT, Shopping / E-commerce, News / Reading","Social Media, Video / OTT, Shopping / E-commerce",Often,Video ads,Social Media,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Banner ads,Late night,No,5.0,5.0,4.0,5.0,4.75
18–24,Student,Male,Android,2–4 hours,"Social Media, Video / OTT, Utility / Tools, Education","Video / OTT, Gaming, News / Reading, Utility / Tools",Very often,Rewarded ads,Video / OTT,Neutral,Neutral,Strongly agree,Strongly agree,Yes,Banner ads,Late night,No,3.0,3.0,5.0,5.0,4.0
25–34,Self-employed,Male,iOS,More than 6 hours,,,Very often,Banner ads,News / Reading,Neutral,Strongly agree,Agree,Strongly agree,No,Skippable video ads,Evening,Yes,3.0,5.0,4.0,5.0,4.25
Below 18,Working professional,Prefer not to say,iOS,2–4 hours,"Video / OTT, Utility / Tools, Education","Video / OTT, Education",Rarely,Unskippable ads,Utility / Tools,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Yes,Banner ads,Afternoon,No,1.0,1.0,1.0,2.0,1.25
25–34,Student,Female,Android,2–4 hours,Shopping / E-commerce,"Gaming, Education",Very often,Banner ads,News / Reading,Disagree,Neutral,Strongly disagree,Neutral,No,Skippable video ads,Late night,No,2.0,3.0,1.0,3.0,2.25
Below 18,Working professional,Male,Android,More than 6 hours,,,Sometimes,Rewarded ads,Education,Neutral,Strongly agree,Neutral,Agree,No,Banner ads,Evening,Yes,3.0,5.0,3.0,4.0,3.75
25–34,Student,Prefer not to say,Android,4–6 hours,,Video / OTT,Rarely,Unskippable ads,Shopping / E-commerce,Disagree,Disagree,Disagree,Neutral,No,Rewarded ads,Evening,Yes,2.0,2.0,2.0,3.0,2.25
25–34,Working professional,Female,iOS,More than 6 hours,Social Media,"Video / OTT, Gaming",Sometimes,Sponsored posts,Utility / Tools,Agree,Strongly disagree,Agree,Disagree,Yes,Skippable video ads,Morning,No,4.0,1.0,4.0,2.0,2.75
25–34,Working professional,Female,Android,More than 6 hours,Education,Utility / Tools,Sometimes,Unskippable ads,Social Media,Neutral,Strongly disagree,Neutral,Agree,Yes,Sponsored content,Evening,No,3.0,1.0,3.0,4.0,2.75
