Timestamp,Age Group?,Occupation?,Gender,What type of smartphone do you primarily use?,Average daily mobile screen time? ,Which app categories do you use daily?,Which category do you spend the MOST time on?,How often do you see ads while using mobile apps?,Which ad formats do you encounter most frequently?,In which app category do you feel ads are MOST excessive?,Fill the following [Ads interrupt my app usage experience],Fill the following [I feel frustrated due to frequent advertisements],Fill the following [Ads reduce my enjoyment while using apps],Fill the following [Ads have caused me to close an app or stop using it temporarily],Ads have made me uninstall an app in the past,Which ad format do you tolerate the MOST?,Which time do you find ads MOST annoying?,Would you pay for an ad-free version of an app you use frequently?
05/02/2026 20:59:20,25–34,Working professional,Female,Android,2–4 hours,"Social Media, Shopping / E-commerce, News / Reading","Social Media, Shopping / E-commerce, News / Reading",Sometimes,Banner ads,News / Reading,Neutral,Strongly disagree,Disagree,Agree,No,Skippable video ads,Evening,No
05/02/2026 20:59:35,35–44,Self-employed,Male,iOS,Less than 2 hours,"Shopping / E-commerce, News / Reading, Utility / Tools","Shopping / E-commerce, News / Reading, Utility / Tools",Rarely,Video ads,Video / OTT,Neutral,Strongly agree,Strongly agree,Neutral,Yes,Rewarded ads,Morning,Yes
05/02/2026 20:59:37,35–44,Self-employed,Male,Android,2–4 hours,"Social Media, Shopping / E-commerce, News / Reading, Education","Social Media, News / Reading, Education",Sometimes,Sponsored posts,News / Reading,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Banner ads,Evening,No
05/02/2026 21:00:36,Below 18,Student,Female,,2–4 hours,"Video / OTT, Gaming, Education","Social Media, Video / OTT, Gaming, Shopping / E-commerce, Education",Sometimes,,Social Media,Agree,Neutral,Neutral,Agree,No,Sponsored content,,Yes
05/02/2026 21:00:43,35–44,Self-employed,Female,iOS,2–4 hours,"Social Media, Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools","Social Media, Video / OTT, News / Reading",Often,Unskippable ads,News / Reading,Agree,Agree,Agree,Strongly agree,Yes,Banner ads,Morning,Yes
05/02/2026 21:01:00,Below 18,Student,Female,Android,More than 6 hours,"Social Media, Video / OTT, Gaming, Education","Social Media, Video / OTT, Gaming, Education",Very often,Sponsored posts,Video / OTT,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Skippable video ads,Late night,Yes
05/02/2026 21:01:03,Below 18,Student,Prefer not to say,iOS,4–6 hours,"Video / OTT, Gaming, Education","Video / OTT, Gaming, Education",Sometimes,Sponsored posts,Gaming,Neutral,Disagree,Neutral,Strongly agree,Yes,Rewarded ads,Afternoon,Yes
05/02/2026 21:01:03,45+,Working professional,Female,Android,Less than 2 hours,"Shopping / E-commerce, News / Reading, Utility / Tools, Education","Shopping / E-commerce, News / Reading, Education",Very often,Unskippable ads,Utility / Tools,Agree,Neutral,Agree,Disagree,No,Banner ads,Evening,No
05/02/2026 21:01:53,Below 18,Student,Male,Android,4–6 hours,"Social Media, Gaming, Shopping / E-commerce, Education","Social Media, Gaming, Shopping / E-commerce",Very often,Unskippable ads,Gaming,Agree,Agree,Agree,Agree,No,Rewarded ads,Evening,No
05/02/2026 21:02:12,35–44,Student,Female,Android,2–4 hours,"Video / OTT, Shopping / E-commerce, News / Reading","Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools",Sometimes,Rewarded ads,Video / OTT,Disagree,Neutral,Neutral,Disagree,No,Skippable video ads,,No
05/02/2026 21:02:26,Below 18,Student,Male,iOS,2–4 hours,"Social Media, Video / OTT, Gaming, Education","Social Media, Video / OTT, Gaming",Often,Sponsored posts,Gaming,Strongly agree,Agree,Neutral,Strongly disagree,Yes,Sponsored content,Late night,Yes
05/02/2026 21:02:43,45+,Self-employed,Male,iOS,2–4 hours,"Shopping / E-commerce, News / Reading, Utility / Tools","Shopping / E-commerce, News / Reading, Utility / Tools",Sometimes,Rewarded ads,News / Reading,Agree,Neutral,Agree,Disagree,No,Rewarded ads,Morning,No
05/02/2026 21:03:55,35–44,Self-employed,Female,Android,2–4 hours,"Video / OTT, Gaming, Shopping / E-commerce","Video / OTT, Shopping / E-commerce, News / Reading",Often,Video ads,Gaming,Disagree,Neutral,Disagree,Neutral,No,Sponsored content,,Yes
05/02/2026 21:03:57,45+,Other,Male,iOS,Less than 2 hours,"Social Media, Shopping / E-commerce, News / Reading, Utility / Tools","Social Media, News / Reading, Utility / Tools",Sometimes,Sponsored posts,News / Reading,Agree,Neutral,Agree,Strongly agree,Yes,Banner ads,Morning,Yes
05/02/2026 21:09:10,18–24,Student,Male,iOS,4–6 hours,"Social Media, Gaming, Shopping / E-commerce","Social Media, Gaming, Shopping / E-commerce",Very often,Sponsored posts,Social Media,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Sponsored content,Late night,No
05/02/2026 21:09:38,18–24,Student,Male,Android,2–4 hours,"Social Media, Gaming, News / Reading","Social Media, Gaming, News / Reading",Often,Banner ads,Social Media,Neutral,Neutral,Neutral,Agree,No,Skippable video ads,Late night,No
05/02/2026 21:10:09,18–24,Student,Male,Android,2–4 hours,"Social Media, Video / OTT, Gaming, Education","Social Media, Video / OTT, Gaming",Rarely,Unskippable ads,Social Media,Strongly agree,Agree,Neutral,Disagree,No,Skippable video ads,Evening,No
05/02/2026 21:10:35,25–34,Self-employed,Female,Android,More than 6 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce, Utility / Tools, Education","Social Media, Video / OTT, Shopping / E-commerce",Often,Video ads,Video / OTT,Neutral,Strongly agree,Strongly agree,Strongly agree,Yes,Skippable video ads,Afternoon,No
05/02/2026 21:10:37,25–34,Self-employed,Male,Android,2–4 hours,"Gaming, Shopping / E-commerce, News / Reading","Social Media, Video / OTT, Gaming",Often,Rewarded ads,Gaming,Disagree,Agree,Agree,Strongly agree,No,Banner ads,Morning,Yes
05/02/2026 21:10:45,18–24,Student,Male,Android,2–4 hours,"Social Media, Video / OTT, News / Reading, Education","Social Media, News / Reading, Education",Very often,Video ads,Video / OTT,Agree,Neutral,Neutral,Disagree,No,Banner ads,Evening,No
05/02/2026 21:11:13,18–24,Student,Female,Android,More than 6 hours,"Social Media, Gaming, Shopping / E-commerce","Social Media, Gaming, Shopping / E-commerce",Often,Unskippable ads,Gaming,Agree,Strongly agree,Strongly agree,Strongly agree,Yes,Banner ads,Late night,No
05/02/2026 21:11:19,18–24,Student,Male,Android,More than 6 hours,"Social Media, Video / OTT, Gaming","Social Media, Video / OTT, Gaming",Very often,Unskippable ads,Video / OTT,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,None,Late night,No
05/02/2026 21:11:59,45+,Working professional,Female,Android,2–4 hours,"Social Media, News / Reading, Education","Social Media, News / Reading, Education",Rarely,Unskippable ads,Social Media,Strongly disagree,Strongly disagree,Disagree,Disagree,No,Skippable video ads,Late night,Yes
05/02/2026 21:12:27,18–24,Student,Male,Android,Less than 2 hours,"News / Reading, Utility / Tools, Education","News / Reading, Utility / Tools, Education",Very often,Video ads,Gaming,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Yes,Skippable video ads,Evening,Yes
05/02/2026 21:12:28,18–24,Student,Male,Android,4–6 hours,"Social Media, Video / OTT, Gaming, News / Reading","Social Media, Video / OTT, Gaming",Often,Video ads,Gaming,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Skippable video ads,Late night,No
05/02/2026 21:12:33,18–24,Student,Male,Android,4–6 hours,"Social Media, Gaming, News / Reading","Social Media, Video / OTT, Gaming",Rarely,Sponsored posts,Social Media,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Rewarded ads,Late night,No
05/02/2026 21:12:57,18–24,Student,Male,iOS,2–4 hours,"Social Media, Gaming, Utility / Tools","Social Media, Gaming, Utility / Tools",Sometimes,Video ads,Social Media,Agree,Strongly agree,Strongly agree,Agree,Yes,None,Late night,No
05/02/2026 21:12:58,35–44,Working professional,Male,iOS,2–4 hours,"Gaming, Utility / Tools, Education","Gaming, Shopping / E-commerce, News / Reading",Sometimes,Rewarded ads,Shopping / E-commerce,Neutral,Disagree,Strongly agree,Strongly disagree,No,Skippable video ads,Late night,No
05/02/2026 21:13:35,18–24,Student,Male,Android,2–4 hours,"Social Media, Video / OTT, Gaming, News / Reading, Utility / Tools, Education","Video / OTT, Gaming, News / Reading",Sometimes,Video ads,Social Media,Strongly agree,Strongly agree,Strongly agree,Agree,Yes,Rewarded ads,Late night,Yes
05/02/2026 21:16:47,45+,Self-employed,Female,Android,Less than 2 hours,"Social Media, Shopping / E-commerce, News / Reading, Utility / Tools","Social Media, Shopping / E-commerce, News / Reading, Utility / Tools",Sometimes,Unskippable ads,Gaming,Disagree,Disagree,Neutral,Disagree,No,Rewarded ads,Morning,No
05/02/2026 21:18:02,18–24,Student,Female,iOS,More than 6 hours,"Social Media, Video / OTT, Gaming, Education","Social Media, Video / OTT, Gaming, Education",Very often,Unskippable ads,Social Media,Agree,Neutral,Agree,Neutral,No,Banner ads,Evening,No
05/02/2026 21:18:05,35–44,Other,Female,iOS,Less than 2 hours,"Video / OTT, Shopping / E-commerce, News / Reading","Video / OTT, News / Reading, Education",Sometimes,Video ads,Gaming,Strongly disagree,Disagree,Neutral,Agree,No,Skippable video ads,Afternoon,Yes
05/02/2026 21:20:02,35–44,Self-employed,Male,iOS,2–4 hours,"Social Media, Video / OTT, Utility / Tools","Social Media, Video / OTT, Utility / Tools",Sometimes,Video ads,Social Media,Neutral,Neutral,Neutral,Neutral,Yes,Rewarded ads,Morning,No
05/02/2026 21:21:27,18–24,Working professional,Female,Android,2–4 hours,"Social Media, Video / OTT, Gaming","Social Media, Video / OTT, Gaming",Often,Video ads,Shopping / E-commerce,Agree,Neutral,Neutral,Neutral,Yes,Skippable video ads,Evening,No
05/02/2026 21:21:54,45+,Self-employed,Male,Android,2–4 hours,"Social Media, Video / OTT, Education","Social Media, Video / OTT, News / Reading",Rarely,Video ads,Social Media,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Yes,Rewarded ads,Evening,No
05/02/2026 21:23:22,35–44,Working professional,Female,Android,Less than 2 hours,"Social Media, Shopping / E-commerce, Education","Social Media, Shopping / E-commerce, Utility / Tools",Often,Unskippable ads,Social Media,Neutral,Strongly agree,Agree,Strongly agree,Yes,Skippable video ads,Late night,Yes
05/02/2026 21:23:33,35–44,Working professional,Male,iOS,2–4 hours,"Social Media, Video / OTT, Shopping / E-commerce","Social Media, Video / OTT, Shopping / E-commerce",Sometimes,Video ads,Social Media,Neutral,Disagree,Neutral,Disagree,No,Banner ads,Late night,No
05/02/2026 21:23:42,35–44,Self-employed,Male,Android,4–6 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce","Social Media, Gaming, Shopping / E-commerce",Sometimes,Banner ads,Gaming,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,None,Afternoon,No
05/02/2026 21:24:41,18–24,Student,Female,Android,2–4 hours,"Social Media, Shopping / E-commerce, Education","Social Media, Video / OTT, Shopping / E-commerce, Education",Sometimes,Sponsored posts,Shopping / E-commerce,Neutral,Agree,Agree,Agree,No,Sponsored content,Late night,No
05/02/2026 21:25:18,35–44,Other,Male,iOS,2–4 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce, News / Reading, Utility / Tools","Video / OTT, Gaming, Shopping / E-commerce",Often,Video ads,Gaming,Agree,Agree,Agree,Agree,No,Rewarded ads,Late night,Yes
05/02/2026 21:26:38,35–44,Working professional,Male,Android,Less than 2 hours,"Social Media, Video / OTT, Shopping / E-commerce","Social Media, Video / OTT, Shopping / E-commerce",Sometimes,Video ads,Video / OTT,Agree,Agree,Strongly agree,Agree,Yes,None,Morning,No
05/02/2026 21:26:50,45+,Working professional,Female,Android,Less than 2 hours,"Social Media, News / Reading, Education","Social Media, News / Reading, Education",Sometimes,Video ads,Education,Agree,Strongly agree,Agree,Agree,No,None,,No
05/02/2026 21:27:12,35–44,Other,Female,Android,More than 6 hours,"Social Media, Gaming, Shopping / E-commerce, News / Reading","Social Media, Gaming, News / Reading",Very often,Unskippable ads,Gaming,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Skippable video ads,Late night,No
05/02/2026 21:27:21,18–24,Self-employed,Female,iOS,2–4 hours,"Video / OTT, Gaming, Shopping / E-commerce","Video / OTT, Gaming, News / Reading",Sometimes,Unskippable ads,Shopping / E-commerce,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Skippable video ads,Morning,Yes
05/02/2026 21:27:56,,,,,,,,,,,,,,,,,,
05/02/2026 21:28:03,18–24,Self-employed,Male,Android,More than 6 hours,"Social Media, Video / OTT, Gaming","Social Media, Video / OTT, Gaming",Sometimes,Video ads,Gaming,Agree,Neutral,Neutral,Agree,Yes,Rewarded ads,Late night,No
05/02/2026 21:28:24,18–24,Working professional,Male,Android,4–6 hours,"Social Media, Video / OTT, Shopping / E-commerce","Social Media, Video / OTT, Shopping / E-commerce",Rarely,Video ads,Social Media,Neutral,Strongly agree,Strongly agree,Strongly agree,No,Rewarded ads,Late night,No
05/02/2026 21:28:48,18–24,Student,Male,Android,2–4 hours,"Social Media, Video / OTT, News / Reading, Utility / Tools, Education","Social Media, Video / OTT, Utility / Tools",Very often,Banner ads,Video / OTT,Strongly agree,Strongly agree,Strongly agree,Agree,Yes,Skippable video ads,Evening,No
05/02/2026 21:28:58,18–24,Student,Male,iOS,4–6 hours,"Social Media, Video / OTT, Education","Social Media, Video / OTT, Education",Often,Unskippable ads,Video / OTT,Strongly agree,Strongly agree,Strongly agree,Agree,No,Rewarded ads,Late night,No
05/02/2026 21:29:31,35–44,Self-employed,Female,Android,4–6 hours,"Social Media, Gaming, Shopping / E-commerce, Education","Social Media, Gaming, Education",Often,Video ads,Gaming,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Skippable video ads,Evening,No
05/02/2026 21:30:00,25–34,Working professional,Female,iOS,2–4 hours,"Social Media, Video / OTT, Shopping / E-commerce, Utility / Tools, Education",Shopping / E-commerce,Sometimes,Unskippable ads,Utility / Tools,Agree,Agree,Strongly agree,Neutral,No,Banner ads,Evening,No
05/02/2026 21:30:00,18–24,Working professional,Female,iOS,2–4 hours,"Video / OTT, Gaming, Shopping / E-commerce, Utility / Tools, Education","Social Media, Video / OTT, Gaming, Shopping / E-commerce, News / Reading, Education",Very often,Rewarded ads,Gaming,Agree,Agree,Strongly disagree,Neutral,No,None,Morning,No
05/02/2026 21:30:00,25–34,Student,Male,iOS,4–6 hours,"Social Media, Video / OTT, Gaming, Shopping / E-commerce, News / Reading","Video / OTT, Shopping / E-commerce, News / Reading, Education",Sometimes,Sponsored posts,Video / OTT,Neutral,Disagree,Neutral,Disagree,Yes,Sponsored content,Morning,Yes
05/02/2026 21:30:01,35–44,Self-employed,Prefer not to say,Android,2–4 hours,"Social Media, Shopping / E-commerce","Social Media, Video / OTT, Gaming, Shopping / E-commerce, Education",Often,Video ads,Gaming,Neutral,Disagree,Neutral,Disagree,No,None,Evening,No
05/02/2026 21:30:01,45+,Self-employed,Male,iOS,More than 6 hours,"Gaming, Shopping / E-commerce, News / Reading, Education","Gaming, Shopping / E-commerce, News / Reading, Utility / Tools, Education",Rarely,Unskippable ads,Education,Strongly disagree,Neutral,Strongly agree,Strongly disagree,No,Banner ads,Afternoon,No
05/02/2026 21:30:01,35–44,Other,Prefer not to say,iOS,Less than 2 hours,"Video / OTT, News / Reading, Education","Video / OTT, Gaming, Shopping / E-commerce, Utility / Tools, Education",Often,Banner ads,News / Reading,Agree,Agree,Strongly agree,Disagree,Yes,Banner ads,Late night,Yes
05/02/2026 21:30:01,18–24,Self-employed,Male,Android,More than 6 hours,"Social Media, Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools","Video / OTT, Shopping / E-commerce, Utility / Tools, Education",Sometimes,Unskippable ads,Utility / Tools,Disagree,Disagree,Disagree,Disagree,Yes,Sponsored content,Afternoon,Yes
05/02/2026 21:30:01,18–24,Self-employed,Female,iOS,Less than 2 hours,"Video / OTT, Shopping / E-commerce, Education","Social Media, Shopping / E-commerce, News / Reading, Utility / Tools, Education",Often,Video ads,Education,Neutral,Neutral,Agree,Disagree,No,None,Late night,No
05/02/2026 21:30:04,Below 18,Working professional,Prefer not to say,iOS,More than 6 hours,"Video / OTT, Gaming, News / Reading, Utility / Tools, Education","Social Media, Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools, Education",Very often,Video ads,Education,Neutral,Strongly disagree,Disagree,Strongly disagree,Yes,Banner ads,Morning,Yes
05/02/2026 21:30:04,Below 18,Student,Male,iOS,2–4 hours,"Social Media, Gaming, Utility / Tools, Education","Social Media, Video / OTT, Gaming, Education",Very often,Sponsored posts,Gaming,Neutral,Agree,Agree,Disagree,Yes,Sponsored content,Evening,Yes
05/02/2026 21:30:06,18–24,Student,Female,iOS,More than 6 hours,"Social Media, Video / OTT, Shopping / E-commerce","Social Media, Video / OTT, Shopping / E-commerce",Often,Sponsored posts,Social Media,Agree,Agree,Agree,Strongly agree,Yes,Banner ads,Late night,No
05/02/2026 21:30:24,45+,Self-employed,Male,Android,2–4 hours,"Video / OTT, Shopping / E-commerce, News / Reading","Video / OTT, Shopping / E-commerce, News / Reading",Often,Video ads,News / Reading,Neutral,Neutral,Disagree,Disagree,No,Skippable video ads,Late night,Yes
05/02/2026 21:30:47,18–24,Student,Male,Android,4–6 hours,"Social Media, Shopping / E-commerce, Education","Social Media, Shopping / E-commerce, Education",Very often,Unskippable ads,Video / OTT,Agree,Agree,Agree,Disagree,Yes,Skippable video ads,Evening,No
05/02/2026 21:31:13,25–34,Working professional,Female,Android,2–4 hours,"Video / OTT, Shopping / E-commerce, News / Reading","Social Media, Video / OTT, Shopping / E-commerce",Often,Video ads,Social Media,Agree,Agree,Agree,Agree,No,Skippable video ads,Evening,No
05/02/2026 21:32:09,18–24,Student,Female,iOS,More than 6 hours,"Video / OTT, Gaming, News / Reading, Utility / Tools, Education","Social Media, Video / OTT, Gaming, Shopping / E-commerce, News / Reading, Utility / Tools, Education",Often,Banner ads,News / Reading,Strongly disagree,Disagree,Strongly agree,Neutral,No,Banner ads,Morning,No
05/02/2026 21:32:09,Below 18,Student,Male,iOS,Less than 2 hours,"Video / OTT, Gaming, Utility / Tools, Education","Shopping / E-commerce, Utility / Tools",Often,Banner ads,Shopping / E-commerce,Agree,Disagree,Strongly agree,Strongly agree,No,Skippable video ads,Afternoon,No
05/02/2026 21:32:09,25–34,Self-employed,Female,Android,Less than 2 hours,"Social Media, Gaming, Shopping / E-commerce, News / Reading, Utility / Tools","Social Media, Shopping / E-commerce, News / Reading, Utility / Tools, Education",Rarely,Unskippable ads,Social Media,Strongly disagree,Neutral,Disagree,Neutral,No,Skippable video ads,Evening,No
05/02/2026 21:32:09,35–44,Working professional,Female,Android,More than 6 hours,"News / Reading, Utility / Tools","Gaming, Shopping / E-commerce, Education",Very often,Video ads,Education,Agree,Strongly agree,Neutral,Neutral,No,Rewarded ads,Afternoon,Yes
05/02/2026 21:32:09,45+,Other,Prefer not to say,Android,Less than 2 hours,"Social Media, News / Reading, Utility / Tools, Education","Video / OTT, Gaming, Shopping / E-commerce, Utility / Tools, Education",Very often,Sponsored posts,Utility / Tools,Strongly disagree,Strongly agree,Disagree,Agree,No,None,Evening,Yes
05/02/2026 21:32:09,45+,Working professional,Female,Android,More than 6 hours,"Video / OTT, Utility / Tools","Social Media, Gaming, News / Reading, Utility / Tools",Very often,Video ads,Shopping / E-commerce,Agree,Neutral,Neutral,Disagree,No,None,Evening,No
05/02/2026 21:32:09,Below 18,Other,Female,Android,Less than 2 hours,"Social Media, Video / OTT, News / Reading","Gaming, Shopping / E-commerce, Utility / Tools",Sometimes,Rewarded ads,Social Media,Agree,Agree,Agree,Neutral,No,None,Afternoon,No
05/02/2026 21:32:09,25–34,Working professional,Female,iOS,2–4 hours,"Video / OTT, Gaming, Utility / Tools, Education","Video / OTT, Gaming, Shopping / E-commerce, News / Reading, Utility / Tools",Often,Banner ads,Education,Agree,Neutral,Strongly disagree,Neutral,No,Banner ads,Evening,Yes
05/02/2026 21:32:12,35–44,Self-employed,Female,Android,Less than 2 hours,"Video / OTT, Shopping / E-commerce, News / Reading, Utility / Tools","Gaming, Shopping / E-commerce, News / Reading, Education",Very often,Unskippable ads,Shopping / E-commerce,Strongly disagree,Disagree,Neutral,Disagree,No,None,Evening,No
05/02/2026 21:32:12,25–34,Working professional,Female,Android,4–6 hours,"Social Media, Gaming, News / Reading, Utility / Tools","News / Reading, Utility / Tools, Education",Often,Rewarded ads,Gaming,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,No,Sponsored content,Morning,No
05/02/2026 21:32:40,18–24,Student,Male,Android,2–4 hours,"Video / OTT, Shopping / E-commerce, News / Reading","Video / OTT, Shopping / E-commerce, News / Reading",Often,Unskippable ads,Video / OTT,Strongly agree,Strongly agree,Strongly agree,Disagree,No,Sponsored content,Evening,Yes
05/02/2026 21:33:13,18–24,Student,Male,iOS,More than 6 hours,"Social Media, Video / OTT, Shopping / E-commerce, News / Reading, Education","Social Media, Video / OTT, Education",Often,Rewarded ads,Video / OTT,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Skippable video ads,Evening,Yes
05/02/2026 21:34:52,18–24,Student,Male,Android,2–4 hours,"Social Media, Gaming, Education","Social Media, Gaming, Education",Sometimes,Sponsored posts,Gaming,Agree,Agree,Agree,Agree,No,Skippable video ads,Late night,No
05/02/2026 21:37:28,18–24,Student,Female,Android,4–6 hours,"Social Media, Video / OTT, Shopping / E-commerce, News / Reading","Social Media, Video / OTT, Shopping / E-commerce",Often,Video ads,Social Media,Strongly agree,Strongly agree,Agree,Strongly agree,Yes,Banner ads,Late night,No
05/02/2026 21:39:03,18–24,Student,Male,Android,2–4 hours,"Social Media, Video / OTT, Utility / Tools, Education","Video / OTT, Gaming, News / Reading, Utility / Tools",Very often,Rewarded ads,Video / OTT,Neutral,Neutral,Strongly agree,Strongly agree,Yes,Banner ads,Late night,No
05/02/2026 21:39:22,25–34,Self-employed,Male,iOS,More than 6 hours,,,Very often,Banner ads,News / Reading,Neutral,Strongly agree,Agree,Strongly agree,No,Skippable video ads,Evening,Yes
05/02/2026 21:39:22,Below 18,Working professional,Prefer not to say,iOS,2–4 hours,"Video / OTT, Utility / Tools, Education","Video / OTT, Education",Rarely,Unskippable ads,Utility / Tools,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Yes,Banner ads,Afternoon,No
05/02/2026 21:39:22,25–34,Student,Female,Android,2–4 hours,Shopping / E-commerce,"Gaming, Education",Very often,Banner ads,News / Reading,Disagree,Neutral,Strongly disagree,Neutral,No,Skippable video ads,Late night,No
05/02/2026 21:39:23,Below 18,Working professional,Male,Android,More than 6 hours,,,Sometimes,Rewarded ads,Education,Neutral,Strongly agree,Neutral,Agree,No,Banner ads,Evening,Yes
05/02/2026 21:39:23,25–34,Student,Prefer not to say,Android,4–6 hours,,Video / OTT,Rarely,Unskippable ads,Shopping / E-commerce,Disagree,Disagree,Disagree,Neutral,No,Rewarded ads,Evening,Yes
05/02/2026 21:39:23,25–34,Working professional,Female,iOS,More than 6 hours,Social Media,"Video / OTT, Gaming",Sometimes,Sponsored posts,Utility / Tools,Agree,Strongly disagree,Agree,Disagree,Yes,Skippable video ads,Morning,No
05/02/2026 21:39:23,25–34,Working professional,Female,Android,More than 6 hours,Education,Utility / Tools,Sometimes,Unskippable ads,Social Media,Neutral,Strongly disagree,Neutral,Agree,Yes,Sponsored content,Evening,No
05/02/2026 21:39:23,25–34,Other,Female,Android,2–4 hours,"Gaming, Shopping / E-commerce",,Very often,Video ads,Gaming,Strongly disagree,Neutral,Neutral,Neutral,No,Skippable video ads,Evening,No
05/02/2026 21:39:23,35–44,Working professional,Female,Android,2–4 hours,"Social Media, Gaming","Social Media, Video / OTT",Very often,Video ads,News / Reading,Strongly disagree,Agree,Strongly agree,Agree,Yes,None,Late night,Yes
05/02/2026 21:39:23,18–24,Working professional,Female,Android,Less than 2 hours,Video / OTT,"Social Media, Utility / Tools",Often,Sponsored posts,Utility / Tools,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,No,Banner ads,Late night,No
05/02/2026 21:39:23,Below 18,Self-employed,Male,Android,2–4 hours,"Social Media, Education",Social Media,Very often,Unskippable ads,Education,Agree,Disagree,Strongly disagree,Neutral,No,Banner ads,Evening,No
05/02/2026 21:39:23,35–44,Other,Male,Android,More than 6 hours,,Education,Very often,Video ads,Video / OTT,Strongly disagree,Agree,Strongly agree,Strongly agree,Yes,Sponsored content,Evening,Yes
